"ALCOHOLIC BEV,WINE,TABLE,RED,CLARET",83,0.83
"ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY",78,0.78
"ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER",80,0.8
"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",83,0.83
"ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE",88,0.88
"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",85,0.85
"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",82,0.82
"ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE",86,0.86
"ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",83,0.83
"ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL",88,0.88
"ALCOHOLIC BEV,WINE,TABLE,WHITE",82,0.82
"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY",84,0.84
"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC",80,0.8
"ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC",82,0.82
"ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER",81,0.81
"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",112,1.12
"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER",108,1.08
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU",76,0.76
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",82,0.82
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",81,0.81
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)",83,0.83
"ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING",80,0.8
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC",81,0.81
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON",82,0.82
"ALFALFA SEEDS,SPROUTED,RAW",23,0.23
"ALLSPICE,GROUND",263,2.63
"ALMOND BUTTER,PLN,W/SALT",614,6.14
"ALMOND BUTTER,PLN,WO/SALT",614,6.14
ALMOND PASTE,458,4.58
Almonds,,5.556
ALMONDS,575,5.75
"ALMONDS,BLANCHED",590,5.9
"ALMONDS,DRY RSTD,W/SALT",595,5.95
"ALMONDS,DRY RSTD,WO/SALT",595,5.95
"ALMONDS,HONEY RSTD,UNBLANCHED",594,5.94
"ALMONDS,OIL RSTD,W/SALT",607,6.07
"ALMONDS,OIL RSTD,WO/SALT",607,6.07
AMARANTH FLAKES,353,3.53
"AMARANTH GRAIN,CKD",102,1.02
"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",21,0.21
"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",21,0.21
"AMARANTH LEAVES,RAW",23,0.23
"AMARANTH,UNCKD",371,3.71
"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",210,2.1
"ANCHOVY,EUROPEAN,RAW",131,1.31
"ANIMAL FAT,BACON GREASE",897,8.97
ANISE SEED,337,3.37
Apple,,0.52
"APPLE CIDER-FLAVORED DRK,PDR,LO CAL,W/ VIT C,PREP",1,0.01
"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",46,0.46
"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",46,0.46
"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",47,0.47
"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C",47,0.47
"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C",166,1.66
"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",166,1.66
"APPLES,CND,SWTND,SLICED,DRND,HTD",67,0.67
"APPLES,CND,SWTND,SLICED,DRND,UNHTD",67,0.67
"APPLES,DEHYD (LO MOIST),SULFURED,STWD",74,0.74
"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",346,3.46
"APPLES,DRIED,SULFURED,STWD,W/ SUGAR",83,0.83
"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",57,0.57
"APPLES,DRIED,SULFURED,UNCKD",243,2.43
"APPLES,FRZ,UNSWTND,HTD",47,0.47
"APPLES,FRZ,UNSWTND,UNHTD",48,0.48
"APPLES,RAW,WITH SKIN",52,0.52
"APPLES,RAW,WITHOUT SKIN",48,0.48
"APPLES,RAW,WO/ SKN,CKD,MICROWAVE",56,0.56
"APPLES,RAW,WO/SKN,CKD,BLD",53,0.53
"APPLESAUCE,CND,SWTND,W/SALT",76,0.76
"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",68,0.68
"APPLESAUCE,CND,UNSWTND,W/ VIT C",42,0.42
"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",42,0.42
"APRICOT NECTAR,CND,W/ VIT C",56,0.56
"APRICOT NECTAR,CND,WO/ VIT C",56,0.56
"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",96,0.96
"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",49,0.49
"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",27,0.27
"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",22,0.22
"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS",83,0.83
"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",83,0.83
"APRICOTS,CND,HVY SYRUP,DRND",83,0.83
"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",48,0.48
"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",63,0.63
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD",126,1.26
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",320,3.2
"APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR",113,1.13
"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR",85,0.85
"APRICOTS,DRIED,SULFURED,UNCKD",241,2.41
"APRICOTS,FROZEN,SWEETENED",98,0.98
"APRICOTS,RAW",48,0.48
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",497,4.97
"ARCHWAY Home Style Cookies, Coconut Macaroon",460,4.6
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400,4
"ARCHWAY Home Style Cookies, Dutch Cocoa",431,4.31
"ARCHWAY Home Style Cookies, Iced Molasses",420,4.2
"ARCHWAY Home Style Cookies, Iced Oatmeal",435,4.35
"ARCHWAY Home Style Cookies, Molasses",403,4.03
"ARCHWAY Home Style Cookies, Oatmeal",421,4.21
"ARCHWAY Home Style Cookies, Oatmeal Raisin",406,4.06
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",406,4.06
"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",468,4.68
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",424,4.24
"ARCHWAY Home Style Cookies, Strawberry Filled",400,4
"ARCHWAY HOME STYLE COOKIES,FROSTY LEMON",430,4.3
"ARCHWAY HOME STYLE COOKIES,PNUT BUTTER",480,4.8
"ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED",400,4
"ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL",442,4.42
"ARROWHEAD,CKD,BLD,DRND,W/SALT",78,0.78
"ARROWHEAD,CKD,BLD,DRND,WO/SALT",78,0.78
"ARROWHEAD,RAW",99,0.99
ARROWROOT FLOUR,357,3.57
"ARROWROOT,RAW",65,0.65
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",51,0.51
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",53,0.53
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",45,0.45
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",45,0.45
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",38,0.38
"ARTICHOKES,(GLOBE OR FRENCH),RAW",47,0.47
"ARTIFICIAL BLUEBERRY MUFFIN MIX,DRY",407,4.07
ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),20,0.2
"ASPARAGUS,CKD,BLD,DRND",22,0.22
"ASPARAGUS,CKD,BLD,DRND,W/SALT",22,0.22
"ASPARAGUS,CND,DRND SOL",19,0.19
"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",15,0.15
"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",15,0.15
"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",18,0.18
"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",18,0.18
"ASPARAGUS,FRZ,UNPREP",24,0.24
"ASPARAGUS,RAW",20,0.2
"AVOCADOS,RAW,ALL COMM VAR",160,1.6
"AVOCADOS,RAW,CALIFORNIA",167,1.67
"AVOCADOS,RAW,FLORIDA",120,1.2
BACON & BF STKS,517,5.17
"BACON BITS,MEATLESS",476,4.76
"bacon, fried",541,5.41
"bacon, roasted",541,5.41
"BACON,MEATLESS",310,3.1
"BAGEL,PLN,TSTD, ENR W/CA PROP(INCLUDE ONION,POPPY,SESAME)",257,2.57
"BAGEL,WHEAT",250,2.5
"BAGELS,CINNAMON-RAISIN",273,2.73
"BAGELS,CINNAMON-RAISIN,TSTD",294,2.94
"BAGELS,EGG",278,2.78
"BAGELS,OAT BRAN",255,2.55
"BAGELS,PLN,ENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",275,2.75
"BAGELS,PLN,TSTD,ENR W/CA PROP (INCLUDES ONION,POPPY,SESAME)",288,2.88
"BAGELS,PLN,UNENR,W/CA PROP (INCL ONION,POPPY,SESAME)",275,2.75
"BAGELS,PLN,UNENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",275,2.75
"BAK CHOC,MARS SNACKFOOD US,M&M'S SEMISWT CHOC MINI BAK BITS",517,5.17
"BAKED BNS,CND,NO SALT",105,1.05
Bakery Chocolate Cake,,3.89
"BAKING CHOC,MARS SNACKFOOD US,M&M'S MILK CHOC MINI BAK BITS",502,5.02
"BAKING CHOC,MEXICAN,SQUARES",426,4.26
"BAKING CHOC,UNSWTND,LIQ",472,4.72
"BAKING CHOC,UNSWTND,SQUARES",501,5.01
"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",32,0.32
"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT",34,0.34
"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",30,0.3
"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT",19,0.19
"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,WO/SALT",19,0.19
"BALSAM-PEAR (BITTER GOURD),PODS,RAW",17,0.17
"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT",11,0.11
"BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT",12,0.12
"BAMBOO SHOOTS,CND,DRND SOL",19,0.19
"BAMBOO SHOOTS,RAW",27,0.27
Banana,,0.89
Banana Bread,,3.26
BANANA CHIPS,519,5.19
"BANANAS,DEHYD,OR BANANA PDR",346,3.46
"BANANAS,RAW",89,0.89
"BARBECUE LOAF,PORK,BEEF",173,1.73
BARLEY FLOUR OR MEAL,345,3.45
BARLEY MALT FLR,361,3.61
"BARLEY,HULLED",354,3.54
"BARLEY,PEARLED,COOKED",123,1.23
"BARLEY,PEARLED,RAW",352,3.52
"BASIL,FRESH",23,0.23
"BASS,FRESHWATER,MXD SP,CKD,DRY HEAT",146,1.46
"BASS,FRSH H2O,MXD SP,RAW",114,1.14
"BASS,STRIPED,CKD,DRY HEAT",124,1.24
"BASS,STRIPED,RAW",97,0.97
BEAN BEVERAGE,34,0.34
"BEANS,ADZUKI,MATURE SD,CKD,BLD,W/SALT",128,1.28
"BEANS,ADZUKI,MATURE SEEDS,CKD,BLD,WO/SALT",128,1.28
"BEANS,ADZUKI,MATURE SEEDS,CND,SWTND",237,2.37
"BEANS,ADZUKI,MATURE SEEDS,RAW",329,3.29
"BEANS,ADZUKI,YOKAN,MATURE SEEDS",260,2.6
"BEANS,BAKED,HOME PREPARED",155,1.55
"BEANS,BKD,CND,PLN OR VEGETARIAN",94,0.94
"BEANS,BKD,CND,W/BF",121,1.21
"BEANS,BKD,CND,W/FRANKS",142,1.42
"BEANS,BKD,CND,W/PORK",106,1.06
"BEANS,BKD,CND,W/PORK&SWT SAU",112,1.12
"BEANS,BKD,CND,W/PORK&TOMATO SAU",94,0.94
"BEANS,BLACK TURTLE SOUP,MATURE SEEDS,CKD,BLD,W/SALT",130,1.3
"BEANS,BLACK TURTLE SOUP,MATURE SEEDS,CKD,BLD,WO/SALT",130,1.3
"BEANS,BLACK TURTLE SOUP,MATURE SEEDS,CND",91,0.91
"BEANS,BLACK TURTLE SOUP,MATURE SEEDS,RAW",339,3.39
"BEANS,BLACK,MATURE SEEDS,CKD,BLD,W/SALT",132,1.32
"BEANS,BLACK,MATURE SEEDS,CKD,BLD,WO/SALT",132,1.32
"BEANS,BLACK,MATURE SEEDS,RAW",341,3.41
"BEANS,CHILI,BARBECUE,RANCH STYLE,CKD",97,0.97
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CKD,BLD,W/SALT",136,1.36
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CKD,BLD,WO/SALT",136,1.36
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CND",83,0.83
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,RAW",335,3.35
"BEANS,FAVA,IN POD,RAW",88,0.88
"BEANS,FRENCH,MATURE SEEDS,CKD,BLD,W/SALT",129,1.29
"BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT",129,1.29
"BEANS,FRENCH,MATURE SEEDS,RAW",343,3.43
"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,W/SALT",118,1.18
"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,WO/SALT",118,1.18
"BEANS,GREAT NORTHERN,MATURE SEEDS,CND",114,1.14
"BEANS,GREAT NORTHERN,MATURE SEEDS,RAW",339,3.39
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,W/SALT",127,1.27
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,WO/SALT",127,1.27
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CND",82,0.82
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,RAW",333,3.33
"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,W/SALT",124,1.24
"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,WO/SALT",124,1.24
"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,RAW",330,3.3
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",33,0.33
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",33,0.33
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",29,0.29
"BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,W/SALT",127,1.27
"BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,WO/SALT",127,1.27
"BEANS,KIDNEY,RED,MATURE SEEDS,CND,DRND SOI,RINSED IN TAP H2O",121,1.21
"BEANS,KIDNEY,RED,MATURE SEEDS,CND,SOL & LIQUIDS",81,0.81
"BEANS,KIDNEY,RED,MATURE SEEDS,RAW",337,3.37
"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,CKD,BLD W/SALT",123,1.23
"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,CKD,BLD,WO/SALT",123,1.23
"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,RAW",329,3.29
"BEANS,LIMA,IMMAT SEEDS,CND,REG PK,SOL&LIQUIDS",71,0.71
"BEANS,LIQ FROM STWD KIDNEY BNS",47,0.47
"BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL",12,0.12
"BEANS,NAVY,MATURE SEEDS,CKD,BLD,W/SALT",140,1.4
"BEANS,NAVY,MATURE SEEDS,CKD,BLD,WO/SALT",140,1.4
"BEANS,NAVY,MATURE SEEDS,CND",113,1.13
"BEANS,NAVY,MATURE SEEDS,RAW",337,3.37
"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",78,0.78
"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",78,0.78
"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW",67,0.67
"BEANS,PINK,MATURE SEEDS,CKD,BLD,W/SALT",149,1.49
"BEANS,PINK,MATURE SEEDS,CKD,BLD,WO/SALT",149,1.49
"BEANS,PINK,MATURE SEEDS,RAW",343,3.43
"BEANS,PINTO,CND,DRND SOL",114,1.14
"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",162,1.62
"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,WO/SALT",162,1.62
"BEANS,PINTO,IMMAT SEEDS,FRZ,UNPREP",170,1.7
"BEANS,PINTO,MATURE SEEDS,CKD,BLD,W/SALT",143,1.43
"BEANS,PINTO,MATURE SEEDS,CKD,BLD,WO/SALT",143,1.43
"BEANS,PINTO,MATURE SEEDS,CND,DRND SOL,RINSED IN TAP H2O",117,1.17
"BEANS,PINTO,MATURE SEEDS,CND,SOL & LIQUIDS",82,0.82
"BEANS,PINTO,MATURE SEEDS,RAW",347,3.47
"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",20,0.2
"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",22,0.22
"BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW",62,0.62
"BEANS,RED,KIDNEY,MATURE SEEDS,CND,DRND SOL",124,1.24
"BEANS,SHELLIE,CND,SOL & LIQUIDS",30,0.3
"BEANS,SML WHITE,MATURE SEEDS,CKD,BLD,W/SALT",142,1.42
"BEANS,SML WHITE,MATURE SEEDS,CKD,BLD,WO/SALT",142,1.42
"BEANS,SML WHITE,MATURE SEEDS,RAW",336,3.36
"BEANS,SNAP,CND,ALL STYLES,SEASONED,SOL&LIQUIDS",16,0.16
"BEANS,SNAP,GREEN,RAW",31,0.31
"BEANS,SNAP,GRN VAR,CND,REG PK,SOL&LIQUIDS",15,0.15
"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",35,0.35
"BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT",35,0.35
"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",21,0.21
"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",15,0.15
"BEANS,SNAP,GRN,CND,REG PK,DRND SOL",25,0.25
"BEANS,SNAP,GRN,FRZ,ALL STYLES,MICROWAVED",40,0.4
"BEANS,SNAP,GRN,FRZ,ALL STYLES,UNPREP",39,0.39
"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND WO/SALT",28,0.28
"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",26,0.26
"BEANS,SNAP,GRN,MICROWAVED",39,0.39
"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",35,0.35
"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",35,0.35
"BEANS,SNAP,YEL,CND,NO SALT,DRND SOL",20,0.2
"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",15,0.15
"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",20,0.2
"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",15,0.15
"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",33,0.33
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",26,0.26
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",28,0.28
"BEANS,SNAP,YELLOW,RAW",31,0.31
"BEANS,WHITE,MATURE SEEDS,CKD,BLD,W/ SALT",139,1.39
"BEANS,WHITE,MATURE SEEDS,CKD,BLD,WO/SALT",139,1.39
"BEANS,WHITE,MATURE SEEDS,CND",114,1.14
"BEANS,WHITE,MATURE SEEDS,RAW",333,3.33
"BEANS,YEL,MATURE SEEDS,CKD,BLD,W/SALT",144,1.44
"BEANS,YEL,MATURE SEEDS,CKD,BLD,WO/SALT",144,1.44
"BEANS,YEL,MATURE SEEDS,RAW",345,3.45
"BEAR,BLACK,MEAT (ALASKA NATIVE)",155,1.55
"BEAR,POLAR,MEAT,RAW (ALASKA NATIVE)",130,1.3
"BEECHNUTS,DRIED",576,5.76
"BEEF BROTH&TOMATO JUC,CND",37,0.37
"BEEF JERKY,CHOPD&FORMED",410,4.1
"BEEF POT PIE,FRZ ENTREE,PREP",220,2.2
"BEEF SAUSAGE,FRSH,CKD",332,3.32
"BEEF SAUSAGE,PRE-COOKED",405,4.05
"BEEF STEW,CANNED ENTREE",99,0.99
"BEEF, CHUCK, SHORT RIBS, BNL, 0"" FAT, CHOICE, CKED, BR",250,2.5
"Beef, shoulder steak, boneless, lean only, 0"", choice, grill",178,1.78
"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",175,1.75
"BEEF,BOLOGNA,RED NA",310,3.1
"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL CHOICE,RAW",137,1.37
"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL GRDS,RAW",132,1.32
"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",165,1.65
"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",169,1.69
"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,SEL,RAW",158,1.58
"BEEF,BRISKET,FLAT HALF,BNLESS,LN,0"" FAT,SEL,RAW",124,1.24
"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",221,2.21
"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,SEL,CKD,BRSD",205,2.05
"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD",298,2.98
"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,CHOIC,RAW",278,2.78
"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",280,2.8
"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,RAW",276,2.76
"BEEF,BRISKET,FLAT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",213,2.13
"BEEF,BRISKET,FLAT HALF,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",289,2.89
"BEEF,BRISKET,FLAT HALF,LN&FAT,1/8""FAT,ALL GRDS,RAW",277,2.77
"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,CHOIC,CKD,BRSD",212,2.12
"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,SEL,CKD,BRSD",198,1.98
